F98F F930
F9C0 0
F9CC 0
F9C4 10
F9AC 40
F999 4
F98A 41
F989 40
F993 A
F97C 8
F938 0
F90C 10
F913 0
F90C 0
F8DD 0
F8BC 0
F8BD 2
F8AE 0
F88D 0
F885 0
F894 0
F893 0
F886 0
F883 0
F877 0
F852 0
F82C 0
F815 0
F800 0
F7EA 0
F7D6 0
F7B9 0
F793 0
F783 0
F796 0
F7A3 0
F78F 0
F76D 0
F758 0
F74F 0
F745 0
F738 0
F728 0
F70C 0
F6E2 0
F6B9 0
F6AC 0
F6BA 0
F6C6 0
F6B8 0
F69D 0
F690 0
F699 0
F6B2 0
F6CA 0
F6D1 0
F6CE 0
F6CE 0
F6D4 0
F6E3 0
F6FE 0
F718 0
F718 0
F704 0
F6F5 0
F6ED 0
F6EE 0
F700 0
F712 0
F70B 0
F6F4 0
F6E5 0
F6E1 0
F6F2 0
F722 0
F751 0
F751 0
F733 0
F732 0
F751 0
F76D 0
